timestamp,symbol,signal,price,score,ema20,ema50,ema200,rsi,macd,volume_ok,volume_ratio,news_sentiment,risk_level,notes,trend_4h,entry_1h,atr,sl,tp1,tp2,time_stop_hours
2026-05-11T14:54:30.089483+00:00,BTCUSDT,BUY_WATCH,80810.2,73,81016.64812830511,80913.30273217398,80356.82166606351,45.70975243530651,-28.7783958459827,True,0.8997,neutral,LOW,Risk check passed,bullish,bullish,409.20263358,80196.39604963,81424.00395037,82037.80790074,24
2026-05-11T14:54:30.102816+00:00,ETHUSDT,WAIT,2312.9,47,2333.6436617839972,2332.010786827059,2328.2376138871387,38.60573691853463,-3.310305680231916,True,1.1149,neutral,LOW,Risk check passed,bullish,bullish,14.54112112,2291.08831832,2334.71168168,2356.52336336,24
2026-05-11T14:54:30.113471+00:00,SOLUSDT,BUY_WATCH,94.67,70,95.07440781121542,94.28140875997117,90.293853741488,47.590235905124935,-0.14998352924655028,True,1.2116,neutral,LOW,Risk check passed,bullish,bullish,0.87993665,93.35009503,95.98990498,97.30980995,24
2026-05-11T15:24:16.185076+00:00,BTCUSDT,AVOID,81061.9,55,81033.29533609009,80924.53303266906,80368.5784174191,50.99299678977929,-12.719049151434454,False,0.1811,neutral,HIGH,Low volume signal,bullish,bullish,398.88673385,80463.56989922,81660.23010077,82258.56020155,24
2026-05-11T15:24:16.193977+00:00,ETHUSDT,AVOID,2322.89,35,2332.9279842424507,2331.7876603894506,2328.084338214951,44.00493716778311,-2.7813041466578214,False,0.1814,neutral,HIGH,Low volume signal,bullish,bullish,14.20675538,2301.57986693,2344.20013307,2365.51026614,24
2026-05-11T15:24:16.201117+00:00,SOLUSDT,AVOID,95.46,55,95.15421477708125,94.3464736344964,90.35289046307673,54.32495166823014,-0.08790963344045272,False,0.3859,neutral,HIGH,Low volume signal,bullish,bullish,0.85779832,94.17330252,96.74669748,98.03339496,24
2026-05-12T04:21:33.025281+00:00,BTCUSDT,AVOID,81024.28,35,81368.87160062674,81185.57651962189,80574.7452074029,42.25839972143029,-86.99502322730609,False,0.0632,neutral,HIGH,Low volume signal,bullish,bullish,378.4735848,80456.5696228,81591.9903772,82159.7007544,24
2026-05-12T04:21:33.035405+00:00,ETHUSDT,AVOID,2307.59,7,2327.7931963304686,2330.426520825304,2330.1704430749937,36.45623647915977,-3.059300585496664,False,0.0883,neutral,HIGH,Low volume signal,bullish,mixed,13.18285245,2287.81572133,2327.36427868,2347.13855735,24
2026-05-12T04:21:33.043650+00:00,SOLUSDT,AVOID,96.13,45,96.51613985900828,95.49414913987566,91.22262551723915,48.55651246203864,-0.19188623295070595,False,0.0579,neutral,HIGH,Low volume signal,bullish,bullish,0.8542236,94.8486646,97.4113354,98.6926708,24
2026-05-12T04:29:38.578214+00:00,BTCUSDT,AVOID,81162.88,55,81382.07160062673,81191.01181373953,80576.12431188051,45.62779046518144,-78.1498950221669,False,0.1911,neutral,HIGH,Low volume signal,bullish,bullish,385.1485848,80585.1571228,81740.6028772,82318.3257544,24
2026-05-12T04:29:38.588129+00:00,ETHUSDT,AVOID,2311.11,7,2328.128434425707,2330.5645600409903,2330.205467950616,38.46901431812706,-2.834662408858191,False,0.2553,neutral,HIGH,Low volume signal,bullish,mixed,13.4399953,2290.95000705,2331.26999295,2351.4299859,24
2026-05-12T04:29:38.597219+00:00,SOLUSDT,AVOID,96.3,45,96.53233033519876,95.50081580654233,91.2243170595277,49.91350318238618,-0.18103723010170636,False,0.1503,neutral,HIGH,Low volume signal,bullish,bullish,0.86636646,95.00045031,97.59954969,98.89909938,24
2026-05-12T04:52:19.757706+00:00,BTCUSDT,AVOID,81272.7,55,81392.53064824578,81195.3184804062,80577.21704819892,48.19449012235921,-71.14143918171527,False,0.6138,neutral,HIGH,Low volume signal,bullish,bullish,393.9335848,80681.7996228,81863.6003772,82454.5007544,24
2026-05-12T04:52:19.797254+00:00,ETHUSDT,AVOID,2312.76,7,2328.2855772828498,2330.629265923343,2330.2218858610636,39.612040941711975,-2.729363263559123,False,0.4467,neutral,HIGH,Low volume signal,bullish,mixed,13.62928102,2292.31607847,2333.20392153,2353.64784306,24
2026-05-12T04:52:19.847722+00:00,SOLUSDT,AVOID,96.36,45,96.53804462091304,95.5031687477188,91.22491407445308,50.377022311945424,-0.17720817027263625,False,0.252,neutral,HIGH,Low volume signal,bullish,bullish,0.87136646,95.05295031,97.66704969,98.97409938,24
